date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:29	18755/18755	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226489-62d79751-67177bdf8234873f;gz%22	https://marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/ripple.js?ver=ver_1.0.4	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/ripplee553.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:29	39287/39287	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2009:29:30%20GMT	https://marketifythemes.net/wp/cavani/01/tag/apple/	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/tag/apple/index.html	(from https://marketifythemes.net/wp/cavani/01/)
13:29:29	35434/35434	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%228a80-62d79751-300fb812ccaad2a8;gz%22	https://marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/isotope.js?ver=ver_1.0.4	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/isotopee553.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:30	20349/20349	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226ca8-62d79750-1a205793a1b308fa;gz%22	https://marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/init.js?ver=ver_1.0.4	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-content/themes/cavani/framework/js/inite553.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:30	2981/2981	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ba5-6298601b-8b2f842d624394d4;gz%22	https://marketifythemes.net/wp/cavani/01/wp-includes/js/comment-reply.min.js?ver=6.0.1	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-includes/js/comment-reply.min37ad.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:30	41217/41217	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2009:29:31%20GMT	https://marketifythemes.net/wp/cavani/01/tag/featured/	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/tag/featured/index.html	(from https://marketifythemes.net/wp/cavani/01/)
13:29:30	4960/4960	---M-Z	200	added ('OK')	application/x-javascript	etag:%221360-62a192c6-4ee0c2f3103a5834;gz%22	https://marketifythemes.net/wp/cavani/01/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.6.6	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-content/plugins/elementor/assets/js/webpack.runtime.min1ed5.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:31	14277/14277	---M-Z	200	added ('OK')	application/x-javascript	etag:%2237c5-62a192c6-3ccbeab64b329edb;gz%22	https://marketifythemes.net/wp/cavani/01/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.6.6	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-content/plugins/elementor/assets/js/frontend-modules.min1ed5.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:31	12198/12198	---M-Z	200	added ('OK')	application/x-javascript	etag:%222fa6-62a192c6-13e4d6765bd758f;gz%22	https://marketifythemes.net/wp/cavani/01/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://marketifythemes.net/wp/cavani/01/)
13:29:31	20715/20715	---M-Z	200	added ('OK')	application/x-javascript	etag:%2250eb-6298607f-74251bda52315b59;gz%22	https://marketifythemes.net/wp/cavani/01/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	C:/Users/MM/Desktop/portfolio/pt/marketifythemes.net/wp/cavani/01/wp-includes/js/jquery/ui/core.min0028.js	(from https://marketifythemes.net/wp/cavani/01/)
